,node_entanglement,eigen_decomposition
0,-0.00234394930560633,-3.7935168514026428e-19
1,-0.00234394930560633,2.1558212812625458e-19
2,-0.00234394930560633,8.401009289221368e-20
3,-0.00234394930560633,4.142264898695938e-20
4,-0.00234394930560633,-3.168521281642292e-20
5,-0.00234394930560633,-9.737436170536908e-21
6,-3.7759895015199163e-06,-1.3533621568690687e-22
7,-0.002343949305608106,-0.0023439493056081058
8,-0.002343949305608106,-0.002343949305608107
9,-0.002343949305608106,1.6123471481735342e-19
10,-0.002343949305608106,-3.8276791375823934e-20
11,-0.002343949305608106,-0.0023439493056081045
12,-0.002343949305608106,7.34803723411376e-19
13,-0.002343949305608106,2.252105865560654e-19
14,-0.002343949305608106,3.532612273788996e-19
15,-0.002343949305608106,-0.0023439493056081053
16,-0.002343949305608106,-5.465661553182222e-20
17,-0.002343949305608106,-2.8619139064088094e-19
18,-0.002343949305608106,-3.684158709796979e-19
19,-0.002343949305608106,-0.0023439493056081053
20,-0.002343949305608106,-6.967987157205883e-19
21,-0.002343949305608106,-0.0023439493056081058
22,-0.002343949305608106,-0.002343949305608104
23,1.7763568394002505e-15,1.7763568394002495e-15
24,0.0022513133844626054,-1.0872126628577177e-19
25,0.0069247723763812274,-2.1348167482995405e-18
26,-0.00234394930560633,3.550708358382797e-19
27,-0.00234394930560633,1.612347148172314e-19
28,-4.9986741981200566e-05,-3.1824694713255642e-21
29,-0.002343949305608106,-0.0023439493056081053
30,-4.9986741981200566e-05,1.4955268562202384e-20
31,-0.00234394930560633,3.6334519126496335e-20
32,-0.00234394930560633,2.5545670550874274e-19
33,-4.9986741981200566e-05,-4.998674198120056e-05
34,-8.211066992558358e-06,-9.68433300716841e-22
35,0.10891347419887154,2.717590262049631e-17
36,-8.211066992558358e-06,5.648198285362923e-22
37,-8.711253940418828e-12,-6.430100730192326e-28
38,-8.211066992558358e-06,-8.211066992558358e-06
39,-8.211066992558358e-06,1.0802673465969175e-21
40,-8.211066992558358e-06,3.878558093125861e-22
41,-0.00234394930560633,2.2973472209572133e-19
42,-8.211066994334715e-06,-8.211066994334713e-06
43,-0.002343949305608106,-4.60875925133571e-19
44,-8.211066994334715e-06,-1.402754441111914e-21
45,-0.002343949305608106,1.6123471481735357e-19
46,-0.002343949305608106,-1.730156214548355e-19
47,-8.211066990782001e-06,-8.211066990782001e-06
48,-8.211066990782001e-06,1.1361046456249832e-21
49,-8.211066990782001e-06,4.733403030058547e-22
50,-8.211066990782001e-06,6.634597731514103e-22
51,-8.211066990782001e-06,-8.211066990782e-06
52,-8.211066990782001e-06,-1.1647986064095581e-21
53,-0.002343949305608106,-5.288033227202079e-19
54,3.552713678800501e-15,5.584063192771153e-31
55,-0.002343949305608106,-0.002343949305608105
56,-8.211066992558358e-06,-4.539127776967032e-21
57,-8.211066992558358e-06,-8.211066992558356e-06
58,-0.002343949305608106,-0.002343949305608104
59,-0.002343949305608106,-0.002343949305608105
60,-0.002343949305608106,-3.2877700289335277e-19
61,-8.211066992558358e-06,1.857543622393247e-21
62,-8.211066992558358e-06,1.9176662711246315e-21
63,-8.211066992558358e-06,-8.211066992558356e-06
64,-8.211066992558358e-06,-6.341958628315571e-38
65,-8.211066992558358e-06,4.659303685554424e-22
66,-8.211066992558358e-06,-2.197509257492527e-22
67,-8.211066992558358e-06,4.621533617164568e-22
68,-0.0023439493056045535,-6.91967343558539e-20
69,-0.0023439493056045535,3.87455786206339e-19
70,-8.211066994334715e-06,1.7399092369775598e-21
71,-8.211066994334715e-06,-8.211066994334715e-06
72,-8.211066994334715e-06,-8.211066994334715e-06
73,-8.211066994334715e-06,-2.0241842943691424e-37
74,-8.211066994334715e-06,1.6515877325350824e-21
75,-8.211066994334715e-06,3.6485822188942405e-22
76,-8.211066994334715e-06,-5.731495358988375e-22
77,1.7763568394002505e-15,-4.506109869564713e-32
78,-8.211066990782001e-06,1.716353941606729e-22
79,-8.211066990782001e-06,-8.211066990781998e-06
80,-8.211066990782001e-06,-1.639532170745691e-21
